"Question","Answer"
"How many types of VPN protocols are there?","There are six types of VPN protocols: IPSec, L2TP, PPTP, SSL, OpenVPN, and SSH."
"Which protocols do Remote Access VPNs rely on for a secure connection?","Remote Access VPNs rely on IPSec and SSL for a secure connection."
"What can hide a user's browsing activity?","A VPN can hide a user's browsing activity, ensuring privacy and anonymity."
"What can mask your IP address?","A VPN can mask your IP address, providing anonymity and security."
"What can hide a user's physical location?","A VPN can hide a user's physical location, helping to maintain anonymity."
"What can be accessed using a VPN?","Using a VPN, users can access websites that are geographically blocked by ISPs."
"What is one of the most secure Linux OS that provides anonymity and an incognito option for securing user data?","Tails is one of the most secure Linux-based operating systems, offering anonymity and an incognito mode to safeguard user data."
"Which of the following OS does not belong to the list of secured Linux OS?","Ubuntu is not considered one of the most secured Linux OS, unlike Qubes OS, Tails, and Tin Hat, which are known for their security and anonymity features."
"Which Debian-Linux based OS uses two VMs to preserve users' data privacy?","Whonix is a Debian-Linux based OS that uses two VMs (Tor Gateway and Workstation) to ensure users' data privacy."
"Is Subgraph OS a Debian-based Linux distro approved by Edward Snowden?","Yes, Subgraph OS is a Debian-based Linux distro that provides strong anonymity and has been approved by Edward Snowden for its security features."
"Which secured Linux-based OS is known for providing anonymity and an incognito option for user data protection?","Tails is a highly secure Linux-based operating system that is popular for providing anonymity and incognito options for securing user data."
"Which account in a UNIX system allows users to carry out administrative functions?","The root account in a UNIX system allows users to perform administrative tasks, whereas other accounts are unprivileged."
"Do you need to log in as the root user to manage features in a Linux-based system?","No, you do not need to log in as the root user to manage features. Instead, you can use the 'sudo' or 'su' commands to gain root privileges."
"Can accounts in a Linux-based system be part of more than one group?","Yes, in a Linux-based system, accounts can belong to one or more groups, and if a group has access to certain resources, all members of that group will automatically have access."
"What does MAC stand for in the context of access control?","MAC stands for Mandatory Access Control, which separates a computer's OS into discrete sections, allowing users to access only the parts for which they have permission."
"What ensures that users can only access specific parts of a system?","Mandatory Access Control ensures that users can only access the parts of a system they have been granted permission to use."
"What is DTE abbreviated as?","DTE stands for Domain and Type Enforcement, a technique used in access control to limit access to programs based on permissions granted to certain users."
"What does RBAC stand for?","RBAC stands for Role-Based Access Control, a system where users are assigned specific roles and permissions, allowing them to perform only tasks relevant to their role in the system."
"What is a sequential segment of memory used for containing data such as a character string or an array of integers?","A buffer is a sequential memory segment allocated for containing data, such as a character string or an array of integers. It can handle data only if limited data is inserted."
"In what type of attack does an attacker use extra data in the memory to exploit the system?","In a buffer-overflow attack, extra data that holds specific instructions in memory is projected by a cyber-criminal or penetration tester to exploit and crack the system."
"How many types of buffer-overflow attacks are there?","There are two types of buffer-overflow attacks: stack-based and heap-based buffer overflow. Both take advantage of an application's vulnerability when waiting for user input."
"What happens if an application's search box can only take 200 words, but you input more than that?","If an application's search box can only accept 200 words and you input more than that, the system may crash due to a limited buffer."
"What common coding mistake by developers can be exploited by attackers to gain access or cause system malfunction?","A buffer-overrun, also known as buffer-overflow, is a widespread coding mistake in apps that can be exploited by attackers to gain access or malfunction the system."
"What is another name for a buffer-overflow?","Buffer-overflow is also known as buffer-overrun, a coding mistake that can be exploited to gain unauthorized access or cause a system failure."
"How can buffer-overflow bugs remain in applications?","Buffer-overflow bugs can remain in applications if boundary checks are not fully performed by developers or are missed by QA testers."
"Which programming languages are commonly prone to buffer-overflow errors?","Programming languages like C and C++ are commonly prone to buffer-overflow errors due to the lack of boundary checks in functions like strcat(), strcpy(), sprintf(), and gets()."
"Why are apps developed in C and C++ prone to buffer-overflow vulnerabilities?","Apps developed in C and C++ are prone to buffer-overflow because functions like strcat(), strcpy(), and gets() do not check whether the stack is large enough to store the data."
"Which old operating systems are commonly vulnerable to buffer-overflow attacks?","Old operating systems like UNIX and NT-based systems are commonly vulnerable to buffer-overflow attacks due to their development in older programming languages."
"Can a buffer-overflow attack occur if a machine can execute code that resides in the data/stack segment?","Yes, a buffer-overflow attack can occur if a machine can execute code that resides in the data or stack segment, especially when boundary testing is insufficient."
"Which buffer-overflow attack is the least common and more complex to execute?","Heap-based buffer-overflow attacks are the least common and more complex to execute. These attacks flood the memory space reserved for a program."
"Which buffer-overflow type is more common among attackers?","Stack-based buffer-overflow attacks are more common among attackers. These attacks exploit the stack, which is the memory space where users input data externally."
"What error occurs when a buffer-overflow lacks proper boundary checks?","A segmentation error occurs when a buffer-overflow lacks proper boundary checks, often causing the program to terminate abnormally."
"In an application using heap, how is memory allocated?","In applications using heap, memory is allocated dynamically at runtime, and accessing such memory is slower than accessing stack memory."
"In an application using stack, how is memory allocated?","In applications using stack, memory is allocated statically at the beginning of a function call and released when the program ends, with faster access than heap memory."
"During a buffer-overflow attack, where can malicious code be pushed?","During a buffer-overflow attack, malicious code can be pushed into the stack. The overflow can be used to overwrite the return pointer, switching control to the malicious code."
"When a function like malloc() is called, how are dynamically created variables stored?","When a function like malloc() is called, dynamically created variables are stored in the heap data structure."
"How many primary ways are there to detect buffer-overflow?","There are two primary ways to detect buffer-overflow: reviewing the code for proper boundary checks and feeding the application with large amounts of data to observe abnormal behavior."
"Is testing for buffer-overflow in a system possible manually?","Yes, testing for buffer-overflow in a system can be done manually through code review for boundary checks or feeding the application with excessive data to detect abnormal behavior."
"How do attackers commonly target websites to fetch the IP address of a target or victim user?","Attackers commonly target websites to fetch the IP address of the victim. This is possible as websites often expose IP addresses during the browsing process."
"Is developing a fake or less useful website meant to just fetch the IP address easy for attackers?","Yes, developing a fake or less useful website just to fetch the IP address is easily done by attackers. It is one of the simple techniques used for enumeration."
"What common web scripting languages are used by attackers to fetch various details from users?","Attackers commonly use scripting languages like Perl and JavaScript, which can be programmed to fetch not only the IP address but also other personal information."
"What is the first phase of ethical hacking?","The first phase of ethical hacking is Footprinting, where an attacker gathers as much information as possible about the target system or user. This process is also known as reconnaissance."
"What information cannot be achieved using enumeration?","Private chats cannot be achieved through enumeration. However, IP tables, SNMP data, and lists of username and password policies can be obtained."
"Which service does enumeration not depend on?","Enumeration does not depend on HTTPS services. It typically relies on services like DNS, SNMP, and NTP for gathering information."
"What suite is used for NTP enumeration?","The NTP suite is used for NTP enumeration. This suite allows attackers to discover primary servers assisting hosts with time synchronization, often without requiring authentication."
"What tool is used to enumerate Linux systems?","The 'enum4linux' tool is used to enumerate Linux systems. It allows attackers to discover usernames and other information on a target host."
"What tool is used to guess usernames using the SMTP service?","The 'smtp-user-enum' tool is used to guess usernames by exploiting the SMTP service. It helps attackers identify valid usernames on a target host."
"How can you stop your system from getting enumerated?","To stop your system from getting enumerated, it is recommended to disable all unnecessary services. This reduces the risk of OS enumeration."
"How can you find the IP address of an email sender for enumeration purposes?","The IP address of an email sender can be found by selecting the 'show original' option in the email, revealing the sender's IP address and allowing enumeration."
"What is network enumeration in computing?","Network enumeration is a computing action where information about user groups, shared services, and other resources on networked computers is gathered."
"What does network enumeration detect?","Network enumeration detects hosts or devices on a network and collects information about user groups, shared resources, and services."
"What is a network enumerator?","A network enumerator is a computer program used to recover information about user groups, shared services, and other resources on networked computers."
"What is another name for a network enumerator?","A network enumerator is also known as a network scanner, which is used to detect hosts and devices on a network and collect information about them."
"Does an ethical hacker need skills in understanding the problem, networking knowledge, and knowledge of how technology works?","Yes, an ethical hacker must have skills in understanding the problem, networking knowledge, and an understanding of how technology works. Additionally, skills in password guessing, network traffic sniffing, and exploring vulnerabilities are important."
"What are some of the major qualities an ethical hacker must have?","High patience, persistence, perseverance, and being up-to-date with the latest technological updates and their flaws are key qualities for an ethical hacker."
"What enables a hacker to open a program or application and rebuild it with further features?","Reverse engineering enables a hacker to open a program or application and rebuild it with additional features and capabilities."
"What intangible skills should a hacker possess?","A hacker should possess intangible skills such as creative thinking, problem-solving capabilities, and persistence."
"Why is knowledge of programming languages important for ethical hackers and security professionals?","Knowledge of programming languages is crucial for solving problems, building tools, understanding malware behavior, and writing defensive code."
"Why is understanding networking important for hackers trying to gain access to a system?","Understanding networking is important because it allows hackers to gain access to systems through networks. This includes knowing how TCP/IP works, understanding network topologies, and familiarizing oneself with relevant protocols."
"What language should a hacker know to access or manipulate a database?","A hacker should know SQL (Structured Query Language) to access or manipulate databases effectively."
"Is information gathering about the system, person, or organization important for hacking?","Yes, information gathering about the system, person, or organization is important for understanding the target and executing a successful hack."
"What is the ethical hacking technique used to determine the operating system (OS) running on a remote computer?","OS fingerprinting is the ethical hacking technique used to determine the operating system running on a remote computer."
"How many types of fingerprinting are there in ethical hacking?","There are two types of fingerprinting in ethical hacking: active fingerprinting and passive fingerprinting."
"What is active fingerprinting?","Active fingerprinting is gained by sending specially crafted packets to a target machine and analyzing its replies to determine the target operating system."
"What is passive fingerprinting?","Passive fingerprinting relies on sniffing traces from the remote system, typically using tools like Wireshark to establish and verify the OS of the remote host."
"How many basic elements are there for OS fingerprinting?","There are four basic elements in OS fingerprinting: TTL, Don't Fragment bit, Window Size, and Type of Service (TOS)."
"Which of the following is not an important element of OS fingerprinting?","A firewall is not considered an important element of OS fingerprinting."
"Can an ethical hacker determine the operating system remotely by analyzing TTL, DF bits, Window Size, and TOS of a packet?","Yes, by analyzing TTL, DF bits, Window Size, and TOS of a packet, an ethical hacker can determine the operating system remotely."
"What is a common tool used for OS fingerprinting?","Nmap is a common tool used for OS fingerprinting to identify the operating system of a target system."
"How can you secure your system from OS fingerprinting attacks?","To secure your system from OS fingerprinting attacks, it is recommended to hide your system behind a VPN or proxy server, which helps preserve your identity and protect your system."
"What is the network scanning practice used by hackers to identify which IP addresses correspond to live hosts?","Ping sweep is the network scanning practice used by hackers to identify which IP addresses correspond to live hosts."
"What is another name for ping sweep?","Ping sweep is also known as ICMP sweep."
"What command is used on Linux to get DNS and host-related information?","The 'nslookup' command is used on Linux to get DNS and host-related information."
"What is the method used to locate all DNS servers and their associated records for an organization?","DNS enumeration is the method used to locate all DNS servers and their associated records for an organization."
"What is DNSenum?","DNSenum is a popular Perl script used to perform tasks like fetching host addresses, performing reverse lookups, and finding extra names and subdomains through Google scraping."
"Why should DNS be configured securely?","DNS should be configured securely because, if not, cyber-criminals may be able to extract sensitive information from the organization."
"What are the piece of programs or scripts that allow hackers to take control over any system?","Exploits are pieces of programs or scripts that allow hackers to take control over any system. Vulnerability scanners such as Nexpose and Nessus are used for finding such vulnerabilities."
"What is the process of finding vulnerabilities and exploiting them using exploitable scripts or programs called?","The process is known as exploitation. Vulnerability scanners such as Nexpose and Nessus are used to find vulnerabilities, which can then be exploited using such programs or scripts."
"Which tool is not considered a powerful vulnerability detecting tool?","Nmap is not considered a powerful vulnerability detecting tool compared to others like Nessus, Nexpose, and Metasploit, which are more widely used for detecting system vulnerabilities."
"What is the specific search engine for exploits where anyone can find exploits associated with vulnerabilities?","Exploit-db is the specific search engine for finding exploits associated with vulnerabilities. You can access it at https://www.exploit-db.com."
"Which is not a vulnerability-listed site or database?","Bing Vulnerability Database (BVD) is not a vulnerability-listed site. Known sites include Exploit-db, Common Vulnerabilities and Exposures (CVE), and the National Vulnerability Database (NVD)."
"How many types of exploits are there based on their working?","There are two types of exploits: remote exploits, where hackers gain access remotely, and local exploits, where physical access is needed."
"How many types of exploits are there based on their nature from hacking’s perspective?","There are two types of exploits based on their nature: known exploits, which are publicly released, and unknown (or Zero Day) exploits, which are not publicly known."
"Can known exploits be confirmed and measures taken to resolve them?","Yes, known exploits have been confirmed, and measures can be taken to resolve them. Information on these vulnerabilities is available online."
"What are unknown exploits, and why are they dangerous?","Unknown exploits, also known as Zero Day exploits, have not been publicly reported. They are dangerous because they present a straightforward attack on firms and government agencies."
"What is a set of changes done to any program or its associated data designed for updating, fixing, or improving it?","A patch is a set of changes done to any program or its associated data designed for updating, fixing, or improving it."
"What are additional programs designed to fix security vulnerabilities called?","These are known as security patches. They help fix security bugs and improve the overall security of the system."
"How can known bugs and vulnerabilities in a system be fixed?","Known bugs and vulnerabilities can be fixed by installing or updating security patches provided by the vendor or owner of the software."
"What frequent updates are released for antivirus software to update it with the latest attack vectors?","Definition updates are frequent releases for antivirus software to update it with the latest attack vectors and vulnerabilities."
"What is the National Vulnerability Database (NVD)?","The National Vulnerability Database (NVD) is the U.S. government's repository of data regarding vulnerability standards, available at https://nvd.nist.gov."
"What is CVE, and what does it list?","CVE is a directory that lists publicly recognized information security vulnerabilities and exposures. It is available at https://cve.mitre.org."
"Which of the following is not a type of cyber crime?","Installing antivirus for protection is not considered a cyber crime. Cyber crimes include activities such as data theft, forgery, and damage to data and systems."
"Are cyber-laws incorporated only for punishing criminals?","False. Cyber-laws were not only incorporated to punish criminals but also to prevent cyber crimes and protect citizens' digital property and identities from damage."
"How many types of cyber crime can be categorized?","Cyber crime can be categorized into two types: peer-to-peer attack, where individual victims are targeted, and computer as a weapon, where computers are used to commit large-scale crimes like cyber terrorism, pornography, or IPR violation."
"Which of the following is not a type of peer-to-peer cyber-crime?","Credit card details leak in the deep web is not a peer-to-peer cyber-crime. Peer-to-peer cyber crimes include activities like phishing, injecting Trojans, and Man-in-the-Middle (MiTM) attacks."
"Which of the following is not an example of a computer as weapon cyber-crime?","Spying using keyloggers is not an example of computer as weapon cyber-crime. Examples include DDoS attacks, IPR violations, and pornography."
"Which of the following is not an activity performed by cyber criminals?","Cyber criminals do not report vulnerabilities in systems. Instead, they exploit them for personal gain. Common activities include unauthorized account access, sending spoofed emails, and using Trojans for mass attacks."
"What is the name of the IT law in the Indian legislature?","India’s Information Technology (IT) Act, 2000 deals with various cyber crimes and provides legal frameworks to address them."
"In which year did India's IT Act come into existence?","India's IT Act came into existence on October 17, 2000."
"What is the full form of ITA-2000?","The full form of ITA-2000 is Information Technology Act - 2000."
"Was K. R. Narayanan the President of India when the ITA-2000 bill was passed?","True. K. R. Narayanan was the President of India when the ITA-2000 was passed and became law."
"Under which section of IT Act is stealing any digital asset considered a cyber-crime?","Stealing any digital asset or information is considered a cyber-crime under Section 65 of the IT Act, 2000."
"What is the punishment for stealing computer documents or software source code in India?","The punishment for stealing computer documents or software source code is up to 3 years of imprisonment and a fine of Rs. 500,000."
"What is the updated version of the IT Act, 2000?","The updated version of the IT Act, 2000 is the IT Act, 2008."
"In which year was the IT Act, 2000 updated?","The IT Act, 2000 was updated in 2008."
"What does Section 66 of the Indian IT Act cover?","Section 66 of the Indian IT Act covers crimes related to cracking or illegally hacking into any system. It provides a broad legal framework to combat various forms of hacking and cyber-crimes."
"Accessing computer without prior authorization is a cyber-crime that comes under which section?","Accessing a computer without prior authorization is a cyber-crime that falls under Section 66 of the IT Act, 2000. This section covers unauthorized access to computer systems."
"Cracking digital identity of any individual or doing identity theft comes under which section of IT Act?","Cracking digital identity or doing identity theft comes under Section 66 of the IT Act, 2000, which addresses various forms of identity theft."
"Is accessing Wi-Fi dishonestly considered a cyber-crime?","Yes, accessing Wi-Fi dishonestly is a cyber-crime under Section 66 of the IT Act, 2000. It applies to unauthorized use of Wi-Fi networks."
"Downloading, copying, or extracting data from an open system done fraudulently is treated as what?","Downloading, copying, or extracting data from an open system done fraudulently is treated as cyber-crime under Section 66 of the IT Act, 2000."
"Any cyber-crime that comes under section 66 of IT Act carries what fine?","Any cyber-crime under Section 66 of the IT Act, 2000, carries a fine of Rs. 5 lacs."
"How many years of imprisonment can an accused person face for a crime under section 66 of the IT Act, 2000?","An accused person can face up to 3 years of imprisonment for a crime under Section 66 of the IT Act, 2000."
"Any digital content which is unacceptable to society falls under which section of IT Act?","Any digital content that is considered lascivious or corrupting to society falls under Section 67 of the IT Act, 2000."
"Publishing sexually explicit digital content is covered under which section of the IT Act, 2008?","Publishing sexually explicit digital content is covered under Section 67-A of the IT Act, 2008, and leads to a fine and punishment."
"If someone publishes sexually explicit digital content, how many years of imprisonment can they face?","If someone publishes sexually explicit digital content, they can face up to 5 years of imprisonment under Section 67-A of the IT Act, 2008."
"Using spy cameras in malls to capture private parts of any person falls under which section of IT Act, 2008?","Using spy cameras to capture private parts of any person falls under Section 67 of the IT Act, 2008."
"Is using spy cameras in public places to capture private parts of any person punishable with a fine of Rs. 5 Lacs?","Yes, using spy cameras in public places to capture private parts is punishable with a fine of Rs. 5 Lacs under Section 67 of the IT Act, 2008."
"Using spy cameras in public places to capture private parts of any person leads to how many years of imprisonment?","Using spy cameras in public places to capture private parts of any person can lead to 3 years of imprisonment under Section 67 of the IT Act, 2008."
"Misuse of digital signatures for fraudulent purposes falls under which section of IT Act?","Misuse of digital signatures for fraudulent purposes falls under Section 72 of the IT Act, 2000."
"Sending offensive messages falls under which section of the Indian IT Act?","Sending offensive messages falls under Section 66-A of the Indian IT Act, 2008."
"Stealing digital files falls under which section of the Indian IT Act?","Stealing digital files falls under Section 66-C of the Indian IT Act."
"Does Section 79 of the Indian IT Act declare data leakage in corporate firms as a punishable offense?","Yes, Section 79 of the Indian IT Act declares data leakage in corporate firms as a punishable offense."
"Which of the following attack is not used by LC4 to recover Windows password?","LC4 does not use MiTM attacks to recover Windows passwords. It is a tool used for auditing and recovering Windows passwords using brute-force, dictionary, and hybrid attacks."
"Which is the world’s most popular vulnerability scanner used in companies for checking vulnerabilities in the network?","Nessus is the world’s most popular vulnerability scanner. It helps in identifying and fixing vulnerabilities such as missing patches and software flaws."
"Which tool can detect registry issues in an operating system?","LANguard Network Security Scanner can detect registry issues in an operating system by scanning connected machines and providing relevant information."
"Is Network Stumbler a Windows Wi-Fi monitoring tool?","Yes, Network Stumbler is a Windows Wi-Fi monitoring tool that helps detect WLANs and non-broadcasting wireless networks."
"ToneLoc is abbreviated as what?","ToneLoc is abbreviated as Tone Locker. It is a tool written for MS-DOS users to find modems connected to a network and guess user accounts."
"Which tool is a debugger and exploration tool?","Netcat is a debugger and exploration tool that reads and writes data across network connections using TCP or UDP protocols."
"Which tool is a popular command-line packet analyser?","Tcpdump is a popular command-line packet analyzer that displays TCP/IP and other data packets being transmitted over a network."
"Which platform keeps the log of data from networks, devices, and applications in a single location?","EventLog Analyser is a platform that keeps the log of data from networks, devices, and applications in a single location, providing security through encryption."
"Which tool restores corrupted Exchange Server Database files and recovers inaccessible emails?","Mailbox Exchange Recovery is used to restore corrupted Exchange Server Database files and recover inaccessible emails from mailboxes."
"Which tool protects businesses against data breaches threatening the cloud?","Centrify protects businesses against data breaches threatening the cloud by securing access for internal, external, and privileged users."
"Which corporate security tool detects attacks on email with cloud-only services?","Proofpoint is a corporate security tool used to detect attacks on email with cloud-only services and helps identify vulnerabilities in email security."
"Which tool helps protect corporate data, communications, and assets?","CipherCloud helps protect corporate data, communications, and other assets by providing encryption, traffic monitoring, and mobile security support."
"Which framework made cracking of vulnerabilities easy like point and click?","The Metasploit framework made cracking of vulnerabilities easy and is used by both white and black hat hackers."
"Is Nmap abbreviated as Network Mapper?","Yes, Nmap stands for Network Mapper, a popular open-source tool used for network discovery and security auditing."
"What is a popular tool used for discovering networks as well as in security auditing?","Nmap is a popular tool used for network discovery and security auditing, applicable for both small and large networks."
"What does Nmap not check?","Nmap does not check the type of antivirus in use. It checks for services, operating systems, and firewall details."
"What tool deals with network intrusion detection and real-time traffic analysis?","Snort is a network intrusion detection application that deals with real-time traffic analysis and pattern matching."
"What type of tool is Wireshark?","Wireshark is a network protocol analysis tool that provides in-depth checks of packets from various protocols."
"What tool is used for Wi-Fi hacking?","Aircrack-ng is used for Wi-Fi attacks, specifically for cracking weak wireless encryption protocols like WPA and WEP."
"What is Aircrack-ng used for?","Aircrack-ng is used for Wi-Fi attacks and can crack weak wireless encryption protocols using WPA and WEP attacks."
"What is a popular IP address and port scanner?","Angry IP Scanner is a lightweight, cross-platform tool that scans IP addresses and ports efficiently using multithreading."
"What tool is used for network analysis in multiprotocol diverse networks?","EtterPeak is a network analysis tool used in multiprotocol diverse networks for sniffing network traffic."
"What tool scans TCP ports and resolves different hostnames?","SuperScan is used for scanning TCP ports and resolving hostnames, providing a user-friendly interface for network scanning."
"What tool is a web application assessment security tool?","WebInspect is a popular web application assessment security tool used for identifying vulnerabilities in web applications."
"What type of attack-based checks can WebInspect not perform?","WebInspect cannot inject shell code into a server, but it can perform checks for cross-site scripting, directory traversal, and parameter injection."
"What tool is used for password recovery and auditing?","LC4, formerly known as L0phtCrack, is a password auditing and recovery tool used to test the strength of passwords and recover lost Windows passwords."
"Was L0phtCrack formerly known as LC3?","No, L0phtCrack is now known as LC4, a password auditing and recovery tool for Microsoft Windows passwords."
"What is a weakness that can be exploited by attackers?","A system with vulnerabilities is defined as a weakness that can be exploited by attackers for their own benefit using special tools and techniques."
"What is the sum of all the possible points in software or system where unauthorized users can enter and extract data?","Attack surface is defined as the sum of all possible points where unauthorized users can enter and extract data from the system."
"What is the cyclic practice for identifying, classifying, and solving vulnerabilities in a system?","Vulnerability management is the cyclic practice for identifying, classifying, and solving vulnerabilities in a system."
"Are risk and vulnerabilities the same thing?","No, risk and vulnerabilities are not the same. Risk refers to the potential impact of exploiting a vulnerability, while vulnerability is the weakness itself."
"What is a vulnerability that does not pose a risk called?","Vulnerabilities without risk refer to vulnerabilities that exist but do not pose any risk to the system."
"What is a piece of software or command that exploits a bug to cause unintended actions?","An exploit is a piece of software or a command that takes advantage of a bug to cause unintended actions and behaviors."
"How many types of exploits are there based on their working?","There are two main types of exploits: local exploits, which require access to the system, and remote exploits, which act over a network to exploit a vulnerability."
"Can remote exploits act over a network to exploit security vulnerabilities?","Yes, remote exploits act over a network to exploit security vulnerabilities without prior access to the system."
"What type of exploit requires access to a system to enhance privileges for an attacker?","Local exploits require access to a system to enhance privileges for an attacker to run the exploit."
"What is the technique used by penetration testers to compromise a system within a network to target other systems?","Pivoting is the technique used by penetration testers to compromise a system within a network to target other systems."
"What is a software bug that attackers exploit to gain unauthorized access to a system called?","A security bug is a software bug that attackers exploit to gain unauthorized access to a system."
"What are security bugs also known as?","Security bugs are also known as security defects."
"What is the timeframe from when a vulnerability is introduced until it is fixed called?","The window of vulnerability is the timeframe from when a vulnerability is introduced until it is fixed."
"What does ISMS stand for?","ISMS stands for Information Security Management System, a set of policies for managing information security."
"What is a zero-day vulnerability?","A zero-day vulnerability is a vulnerability unknown to the creator or vendor of the software, which can be exploited by attackers until it is fixed."
"What is an activity that takes place when cyber-criminals infiltrate any data source and take away or alter sensitive information?","A data breach occurs when cyber-criminals infiltrate any data source and steal or alter sensitive information. This is either done using a network to steal local files or by gaining physical access to a system."
"Which step is not followed by cyber-criminals in data breaching?","Fixing bugs is not a step followed by cyber-criminals. They typically research the victim, gather information, attack the system, and then exfiltrate the data."
"What types of data are stolen by cyber-criminals in most cases?","Cyber-criminals typically steal valuable data that can be sold, such as personal, financial, and business-related information."
"Which organizations do not become major targets for attackers for data stealing?","NGOs are not usually major targets for data stealing. Business firms, healthcare organizations, government agencies, and financial institutions are more frequent targets."
"What may an attacker give you on a USB drive that could take control of your system in the background?","Attackers may give you a USB containing Trojans, which can take control of your system when executed."
"Which technique might an attacker who is an employee of your firm use to gain access to your system password?","An attacker may use shoulder surfing, a technique of watching over someone's shoulder, to gain access to their password."
"How can attackers retrieve data from discarded files?","Attackers use dumpster diving to retrieve confidential data from discarded files, which may contain personal or business-related information."
"Are ATM skimmers used to steal data from ATM cards?","Yes, ATM skimmers are used to steal data from the magnetic strip of ATM cards without the cardholder's knowledge."
"What type of malware encrypts all your system files and demands a ransom for decryption?","Ransomware is a type of malware that encrypts files and demands a ransom, typically in cryptocurrency, to restore access."
"What type of malware is used by attackers to spy on mobile phones and systems?","Spyware is a type of malware used by attackers to spy on mobile phones and systems, tracking user activity and locations."
"Does antivirus software help in detecting viruses and Trojans in a system?","Yes, antivirus software helps detect viruses and Trojans, provided it is up-to-date with the latest security definitions."
"What happens when you click a link in an email from an unknown source?","Clicking a link from an unknown email can redirect you to a malicious website that automatically installs malware on your system."
"What might an attacker use an automatic brute-forcing tool to compromise?","An attacker may use an automatic brute-forcing tool to compromise your password by guessing combinations through trial and error."
"What type of attack involves an attacker using zombie PCs to ping your system?","An attack called a Distributed Denial-of-Service (DDoS) uses multiple zombie PCs to overwhelm the target's resources."
"Is it true that illicit hackers may physically steal devices to access confidential information?","Yes, illicit hackers may steal physical devices such as laptops and USB drives to access confidential information in what is known as physical hacking."
"What is the malicious method used by cyber-criminals to trick a user into clicking on something different from what they want?","Clickjacking is a malicious method used by cyber-criminals to trick a user into clicking on something else, often resulting in downloading malware or redirecting to dangerous sites."
"What confidential information may get stolen through a clickjacking attack?","Through clickjacking, an employee’s confidential information, such as login credentials or other sensitive data, may get compromised by downloading malicious programs like Trojans or spyware."
"What is not a proper aspect of user integration?","Physical authorization is not a proper aspect of user integration. The main aspects are representing users in the database, access control, and employee authentication."
"What needs to be blocked within a corporate network to prevent potential cyber attacks?","Unknown, strange, and infected sites must be blocked within the corporate network to prevent employees from accessing them and falling victim to cyber-attacks such as clickjacking or URL redirection."
"Should every employee have basic knowledge of cyber-security and hacking methods?","Yes, every employee should have basic knowledge of cyber-security and hacking methods to be aware of various malicious activities and to report suspicious activity to their superiors."
"What external device can bring worms and viruses into the internal systems of a company?","Using a pen drive may bring worms and viruses into internal systems if the home system is infected with malware or infected programs."
"What is a technique that takes over browser settings and redirects users to unwanted websites?","Browser hijacking is a technique where an attacker takes over browser settings and redirects the websites users visit to other unwanted websites."
"Which attack has become popular in recent years and targets high-ranking officials with the goal of extorting a ransom?","Ransomware has become a popular attack that targets high-ranking officials and encrypts files on the system, demanding a ransom to decrypt them."
"What is the best way to prevent losing important files to ransomware?","Keeping a secured backup of important and precious files in a safe location, such as encrypted cloud storage, is the best way to prevent losing them to ransomware."
"What is the technique for obtaining permission to use, manufacture, and sell products within a certain market area?","Product licensing is the technique used to obtain permission from a company for using, manufacturing, and selling one or more products within a defined market area."
"What does not come under security measures for cloud in firms?","Antivirus does not come under security measures for cloud services in firms. Firewalls, encryption mechanisms, and load balancers are used to secure cloud services."
"Why is it important to limit employee access to data and restrict their ability to install software?","It is important to limit employee access to data and software installations to prevent unauthorized installations of pirated or harmful software that could damage the corporate network."
"Which systems should be isolated from payment systems to prevent data compromise?","Payment systems and processes should be isolated from computers used by strangers or those that may contain keyloggers to prevent the compromise of payment information."
"What should you do if a pop-up window asks you to update security applications on a company system?","If a pop-up window asks you to update security applications on a company system, you should verify it with a senior member or tech department before proceeding, but generally, updating security applications is important."
"What is the 7-layer architecture model where each layer has some specific functionality to perform?","The OSI model is a 7-layer architecture where each layer has specific functionality. All these layers work together to transmit data from one person to another globally."
"What is the full form of OSI in the OSI model?","OSI stands for Open Systems Interconnection. It is a 7-layer architecture where each layer performs a distinct function, all collaborating to transmit data."
"What is not a physical layer vulnerability?","Unauthorized network access is not a physical layer vulnerability. Physical theft, damage to hardware, and keystroke logging are examples of physical layer vulnerabilities."
"In which layer are vulnerabilities directly associated with physical access to networks and hardware?","In the physical layer, vulnerabilities are associated with physical access to networks and hardware, including unauthorized access and hardware damage."
"Does loss of power and unauthorized changes to hardware come under physical layer issues?","Yes, loss of power and unauthorized changes to hardware come under physical layer issues, along with unauthorized access and data destruction."
"What is not a vulnerability of the data-link layer?","Overloading transport-layer mechanisms is not a data-link layer vulnerability. Examples of data-link vulnerabilities include MAC Address Spoofing and VLAN circumvention."
"What is the data-link layer vulnerability where stations are forced to communicate by evading logical controls?","VLAN Circumvention is the vulnerability where stations communicate directly by bypassing logical controls like firewalls and subnets."
"What device may be forced to flood traffic to all VLAN ports, allowing data interception?","Switches may be forced to flood traffic to all VLAN ports, enabling interception of data by any device connected to the VLAN."
"What is not a network layer vulnerability?","Weak or non-existent authentication is a session layer vulnerability, not a network layer vulnerability. Examples of network layer vulnerabilities include Route Spoofing and IP Address Spoofing."
"What is an example of a physical layer vulnerability?","Physical theft of data is an example of a physical layer vulnerability, along with damage or destruction of hardware and keystroke logging."
